property,def,superPropertyList
http://purl.obolibrary.org/obo/RO_HOM0000052,Peramorphosis that is produced by a delay in the offset of development.,http://purl.obolibrary.org/obo/RO_HOM0000030
http://purl.obolibrary.org/obo/RO_0002324,A relationship that holds between entities participating in some developmental process (GO:0032502),
http://purl.obolibrary.org/obo/RO_0002299,The relationship that links an entity with a process that results in the progression of the entity over time that is independent of changes in it's shape and results in an end point state of that entity.,http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002519,inverse of has end sequence,http://purl.obolibrary.org/obo/RO_0002525
http://purl.obolibrary.org/obo/RO_0002573,A relation that holds between an attribute or a qualifier and another attribute.,
http://purl.obolibrary.org/obo/RO_0002225,x develops from part of y if and only if there exists some z such that x develops from z and z is part of y,http://purl.obolibrary.org/obo/RO_0002202
http://purl.obolibrary.org/obo/RO_0002113,Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input.,http://purl.obolibrary.org/obo/RO_0002130
http://purl.obolibrary.org/obo/RO_0003302,"A relationship between an entity (a genotype, genetic variation or environment) and a condition (a phenotype or disease) where the entity has some causal or contributing role that influences the condition.",http://purl.obolibrary.org/obo/RO_0002410
http://purl.obolibrary.org/obo/RO_0002233,"p has direct input c iff c is a participant in p, c is present at the start of p, and the state of c is modified during p.",http://purl.obolibrary.org/obo/RO_0000057
http://purl.obolibrary.org/obo/RO_0002490,x existence overlaps y if and only if either (a) the start of x is part of y or (b) the end of x is part of y. Formally: x existence starts and ends during y iff (α(x) >= α(y) & α(x) <= ω(y)) OR (ω(x) <= ω(y) & ω(x) >= α(y)),http://purl.obolibrary.org/obo/RO_0002487
http://purl.obolibrary.org/obo/RO_0001020,"A relation between a material entity and a condition (a phenotype or disease) of a host, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",http://purl.obolibrary.org/obo/RO_0003302
http://purl.obolibrary.org/obo/RO_HOM0000058,"Homocracy that involves recognizably corresponding characters that occurs in two or more taxa, or as a repeated unit within an individual.",http://purl.obolibrary.org/obo/RO_HOM0000003
http://purl.obolibrary.org/obo/RO_0002297,,http://purl.obolibrary.org/obo/RO_0002234 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0003307,"A relationship between an entity (a genotype, genetic variation or environment) and a condition (a phenotype or disease) where the entity prevents or reduces the severity of a condition.",http://purl.obolibrary.org/obo/RO_0002410
http://purl.obolibrary.org/obo/BFO_0000060,,
http://purl.obolibrary.org/obo/RO_0002010,"x 'regulates in other organism' y if and only if: (x is the realization of a function to exert an effect on the frequency, rate or extent of y) AND (the agents of x are produced by organism o1 and the agents of y are produced by organism o2).",http://purl.obolibrary.org/obo/RO_0002418
http://purl.obolibrary.org/obo/RO_0002496,x existence starts during or after y if and only if the time point at which x starts is after or equivalent to the time point at which y starts. Formally: x existence starts during or after y iff α (x) >= α (y).,http://purl.obolibrary.org/obo/RO_0002487
http://purl.obolibrary.org/obo/RO_0002162,"x is in taxon y if an only if y is an organism, and the relationship between x and y is one of: part of (reflexive), developmentally preceded by, derives from, secreted by, expressed.",http://purl.obolibrary.org/obo/RO_0002320
http://purl.obolibrary.org/obo/RO_0002158,two individual entities d1 and d2 stand in a shares_ancestor_with relation if and only if there exists some a such that d1 derived_by_descent_from a and d2 derived_by_descent_from a.,http://purl.obolibrary.org/obo/RO_0002320
http://purl.obolibrary.org/obo/RO_0002632,A sub-relation of parasite-of in which the parasite lives on or in the integumental system of the host,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002205,x has gene product y if and only if x is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from y,http://purl.obolibrary.org/obo/RO_0002330
http://purl.obolibrary.org/obo/RO_0002213,"x positively regulates y if and only if the progression of x increases the frequency, rate or extent of y",http://purl.obolibrary.org/obo/RO_0002211
http://purl.obolibrary.org/obo/RO_0002373,"m has_muscle_insertion s iff m is attaches_to s, and it is the case that when m contracts, s moves. Insertions are usually connections of muscle via tendon to bone.",http://purl.obolibrary.org/obo/RO_0002371 http://purl.obolibrary.org/obo/RO_0002567
http://purl.obolibrary.org/obo/RO_0002413,p1 directly provides input for p2 iff there exists some c such that p1 has_output c and p2 has_input c,http://purl.obolibrary.org/obo/RO_0002414 http://purl.obolibrary.org/obo/RO_0002412
http://purl.obolibrary.org/obo/RO_0003304,"A relationship between an entity (a genotype, genetic variation or environment) and a condition (a phenotype or disease) where the entity has some contributing role in the manifestation of the condition.",http://purl.obolibrary.org/obo/RO_0003302
http://purl.obolibrary.org/obo/RO_0002567,A relation that holds between elements of a musculoskeletal system or its analogs.,http://purl.obolibrary.org/obo/RO_0002328
http://purl.obolibrary.org/obo/RO_0002476,"c is a child nucleus of d if and only if c and d are both nuclei and parts of cells c' and d', where c' is derived from d' by mitosis and the genetic material in c is a copy of the generic material in d",http://purl.obolibrary.org/obo/RO_0002258
http://purl.obolibrary.org/obo/RO_0002526,x overlaps the sequence of x if and only if x has a subsequence z and z is a subsequence of y.,http://purl.obolibrary.org/obo/RO_0002514 http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002298,The relationship that links an entity with the process that results in the formation and shaping of that entity over time from an immature to a mature state.,http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0000059,"A relationship between a specifically dependent continuant and a generically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. Multiple specifically dependent continuants can concretize the same generically dependent continuant.",
http://purl.obolibrary.org/obo/RO_0002134,"Relation between a 'neuron projection bundle' and a region in which one or more of its component neuron projections either synapses to targets or receives synaptic input.
T innervates some R
Expands_to: T has_fasciculating_neuron_projection that synapse_in some R.",http://www.w3.org/2002/07/owl#topObjectProperty
http://purl.obolibrary.org/obo/RO_HOM0000027,Iterative homology that involves structures arranged along the main body axis.,http://purl.obolibrary.org/obo/RO_HOM0000066
http://purl.obolibrary.org/obo/RO_0002381,"x main_stem_of y if y is a branching structure and x is a channel that traces a linear path through y, such that x has higher capacity than any other such path.",http://purl.obolibrary.org/obo/RO_0002375
http://purl.obolibrary.org/obo/RO_0002130,A general relation between a neuron and some structure in which it either chemically synapses to some target or in which it receives (chemical) synaptic input.,http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002132,The relation between a neuron projection bundle and a neuron projection that is fasciculated with it.,http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002237,"A sub-relation of parasite-of in which the parasite is a plant, and the parasite is parasitic under natural conditions and is also photosynthetic to some degree. Hemiparasites may just obtain water and mineral nutrients from the host plant. Many obtain at least part of their organic nutrients from the host as well.",http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002477,A child nucleus relationship in which the cells are part of a hermaphroditic organism,http://purl.obolibrary.org/obo/RO_0002476
http://purl.obolibrary.org/obo/RO_0002451,A relationship that holds between a disease and organism,http://purl.obolibrary.org/obo/RO_0002321
http://purl.obolibrary.org/obo/RO_0000053,"a relation between an independent continuant (the bearer) and a specifically dependent continuant (the dependent), in which the dependent specifically depends on the bearer for its existence",
http://purl.obolibrary.org/obo/RO_0002461,,http://purl.obolibrary.org/obo/RO_0000056
http://purl.obolibrary.org/obo/RO_0002428,c involved in regulation of p if c is involved in some 'p' and p' regulates some p,http://purl.obolibrary.org/obo/RO_0002431
http://purl.obolibrary.org/obo/RO_0002525,inverse of has subsequence,http://purl.obolibrary.org/obo/BFO_0000050 http://purl.obolibrary.org/obo/RO_0002523 http://purl.obolibrary.org/obo/RO_0002526
http://purl.obolibrary.org/obo/RO_HOM0000019,Historical homology that involves two members sharing no other homologs in the lineages considered.,http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_0002012,A part of relation that applies only between occurents.,http://purl.obolibrary.org/obo/BFO_0000050 http://purl.obolibrary.org/obo/RO_0002418
http://purl.obolibrary.org/obo/RO_0002352,,http://purl.obolibrary.org/obo/RO_0002328 http://purl.obolibrary.org/obo/RO_0000056
http://purl.obolibrary.org/obo/RO_0002231,x 'has starts location' y if and only if there exists some process z such that x 'starts with' z and z 'occurs in' y,http://purl.obolibrary.org/obo/RO_0002479
http://purl.obolibrary.org/obo/RO_0002255,,http://purl.obolibrary.org/obo/RO_0002286 http://purl.obolibrary.org/obo/RO_0002385
http://purl.obolibrary.org/obo/RO_0002001,,
http://purl.obolibrary.org/obo/RO_0000300,"A relation that holds between two neurons connected directly via a synapse, or indirectly via a series of synaptically connected neurons.",
http://purl.obolibrary.org/obo/RO_0002485,,http://purl.obolibrary.org/obo/RO_0002170
http://purl.obolibrary.org/obo/RO_0002106,A relation between a motor neuron and a muscle that it synapses to via a type Is bouton.,http://purl.obolibrary.org/obo/RO_0002120
http://purl.obolibrary.org/obo/RO_0002151,"x partially overlaps y iff there exists some z such that z is part of x and z is part of y, and it is also the case that neither x is part of y or y is part of x",http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_HOM0000044,Homocracy that involves morphologically and phylogenetically disparate structures that are the result of parallel evolution.,http://purl.obolibrary.org/obo/RO_HOM0000003 http://purl.obolibrary.org/obo/RO_HOM0000005
http://purl.obolibrary.org/obo/RO_HOM0000042,"Historical homology that is based on recent shared ancestry, characterizing a monophyletic group.",http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_0002159,,http://purl.obolibrary.org/obo/RO_0002320
http://purl.obolibrary.org/obo/RO_0002434,A relationship that holds between two entities in which the processes executed by the two entities are causally connected.,
http://purl.obolibrary.org/obo/RO_0002000,"a relation between a 2D immaterial entity (the boundary) and a material entity, in which the boundary delimits the material entity",http://purl.obolibrary.org/obo/RO_0002323
http://purl.obolibrary.org/obo/RO_0002442,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which both organisms benefit from each other (GO).,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0002230,"x ends with y if and only if x has part y and the time point at which x ends is equivalent to the time point at which y ends. Formally: α(y) > α(x) ∧ ω(y) = ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",http://purl.obolibrary.org/obo/RO_0002222 http://purl.obolibrary.org/obo/BFO_0000051
http://purl.obolibrary.org/obo/RO_0002011,A relationship that holds between a  process that regulates a transport process and the entity transported by that process.,
http://purl.obolibrary.org/obo/RO_0002462,,http://purl.obolibrary.org/obo/RO_0002461
http://purl.obolibrary.org/obo/RO_0002160,"x only in taxon y if and only if x is in taxon y, and there is no other organism z such that y!=z a and x is in taxon z.",http://purl.obolibrary.org/obo/RO_0002162
http://purl.obolibrary.org/obo/RO_0002353,,http://purl.obolibrary.org/obo/RO_0002328 http://purl.obolibrary.org/obo/RO_0000056
http://purl.obolibrary.org/obo/RO_0002111,,http://www.w3.org/2002/07/owl#topObjectProperty
http://purl.obolibrary.org/obo/RO_0002244,,http://purl.obolibrary.org/obo/RO_0002410
http://purl.obolibrary.org/obo/RO_0002486,,http://purl.obolibrary.org/obo/RO_0002170
http://purl.obolibrary.org/obo/RO_0002115,"Relation between a muscle and a motor neuron that synapses to it via a type III bouton.
",http://purl.obolibrary.org/obo/RO_0002103
http://purl.obolibrary.org/obo/RO_0002571,x lumen_of y iff x is the space or substance that is part of y and does not cross any of the inner membranes or boundaries of y that is maximal with respect to the volume of the convex hull.,http://purl.obolibrary.org/obo/BFO_0000050
http://purl.obolibrary.org/obo/RO_0002177,"a is attached to part of b if a is attached to b, or a is attached to some p, where p is part of b.",http://purl.obolibrary.org/obo/RO_0002323 http://purl.obolibrary.org/obo/RO_0002567
http://purl.obolibrary.org/obo/RO_0002520,"x is a consecutive sequence of y iff x has subsequence y, and all the parts of x are made of zero or more repetitions of y or sequences as the same type as y.",http://purl.obolibrary.org/obo/RO_0002524
http://purl.obolibrary.org/obo/RO_0002578,"p 'directly regulates' q if and only if p and q are processes, and p regulates q, and q directly follows from p",http://purl.obolibrary.org/obo/RO_0002211 http://purl.obolibrary.org/obo/RO_0002412
http://purl.obolibrary.org/obo/RO_0002471,,http://purl.obolibrary.org/obo/RO_0002438
http://purl.obolibrary.org/obo/RO_0002236,A parasite-of relationship in which the host is a plant and the parasite that attaches to the host root (PO:0009005),http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002253,,http://purl.obolibrary.org/obo/RO_0002375
http://purl.obolibrary.org/obo/RO_0000081,"a relation between a role and an independent continuant (the bearer), in which the role specifically depends on the bearer for its existence",http://purl.obolibrary.org/obo/RO_0000052
http://purl.obolibrary.org/obo/RO_0002488,x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).,http://purl.obolibrary.org/obo/RO_0002490 http://purl.obolibrary.org/obo/RO_0002496
http://purl.obolibrary.org/obo/RO_0000086,"a relation between an independent continuant (the bearer) and a quality, in which the quality specifically depends on the bearer for its existence",http://purl.obolibrary.org/obo/RO_0000053
http://purl.obolibrary.org/obo/RO_HOM0000055,Paralogy that is characterized by duplication of adjacent sequences on a chromosome segment.,http://purl.obolibrary.org/obo/RO_HOM0000011
http://purl.obolibrary.org/obo/RO_0002615,Inverse of is-model-of,
http://purl.obolibrary.org/obo/RO_0002215,"A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. ",http://purl.obolibrary.org/obo/RO_0002216
http://purl.obolibrary.org/obo/RO_HOM0000069,Paralogy that is characterized by extra similarity between paralogous sequences resulting from concerted evolution.,http://purl.obolibrary.org/obo/RO_HOM0000011
http://www.w3.org/2002/07/owl#topObjectProperty,,
http://purl.obolibrary.org/obo/RO_0002004,The relationship that holds between a trachea or tracheole and an antomical structure that is contained in (and so provides an oxygen supply to).,http://purl.obolibrary.org/obo/RO_0001018
http://purl.obolibrary.org/obo/RO_0002202,x develops from y if and only if either (a) x directly develops from y or (b) there exists some z such that x directly develops from z and z develops from y,http://purl.obolibrary.org/obo/RO_0002258
http://purl.obolibrary.org/obo/RO_0002572,s is luminal space of x iff s is lumen_of x and s is an immaterial entity,http://purl.obolibrary.org/obo/RO_0002571
http://purl.obolibrary.org/obo/RO_0000085,"a relation between an independent continuant (the bearer) and a function, in which the function specifically depends on the bearer for its existence",http://purl.obolibrary.org/obo/RO_0000053
http://purl.obolibrary.org/obo/RO_0002339,This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.,http://purl.obolibrary.org/obo/RO_0002344
http://purl.obolibrary.org/obo/RO_0002448,Holds between molecular entities a and b when the execution of a activates or inhibits the activity of b,http://purl.obolibrary.org/obo/RO_0002566 http://purl.obolibrary.org/obo/RO_0002436
http://purl.obolibrary.org/obo/RO_0002460,,http://purl.obolibrary.org/obo/RO_0002459
http://purl.obolibrary.org/obo/RO_HOM0000011,Historical homology that involves genes that diverged after a duplication event.,http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_HOM0000029,Heterochronous homology that is produced by a retention in adults of a species of traits previously seen only in juveniles.,http://purl.obolibrary.org/obo/RO_HOM0000028
http://purl.obolibrary.org/obo/RO_0002157,,http://purl.obolibrary.org/obo/RO_0002320
http://purl.obolibrary.org/obo/RO_0002292,Inverse of 'expressed in',http://purl.obolibrary.org/obo/RO_0002330
http://purl.obolibrary.org/obo/BFO_0000066,b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t,
http://purl.obolibrary.org/obo/RO_0002248,"A relationship that holds between a substance and a chemical entity, if the chemical entity is part of the substance, and the chemical entity forms the biologically active component of the substance.",http://purl.obolibrary.org/obo/BFO_0000051
http://purl.obolibrary.org/obo/RO_HOM0000004,Homoplasy that involves different underlying mechanisms or structures.,http://purl.obolibrary.org/obo/RO_HOM0000002
http://purl.obolibrary.org/obo/RO_0003002,Holds between protein a (a transcription factor) and DNA element b if and only if a diminishes the process of transcription of b.,http://purl.obolibrary.org/obo/RO_0002449
http://purl.obolibrary.org/obo/RO_HOM0000012,Paralogy that involves sets of syntenic blocks.,http://purl.obolibrary.org/obo/RO_HOM0000011 http://purl.obolibrary.org/obo/RO_HOM0000010
http://purl.obolibrary.org/obo/RO_0002465,,http://purl.obolibrary.org/obo/RO_0002563
http://purl.obolibrary.org/obo/RO_0002344,,http://purl.obolibrary.org/obo/RO_0002337
http://purl.obolibrary.org/obo/RO_0002574,,http://purl.obolibrary.org/obo/RO_0002437
http://purl.obolibrary.org/obo/RO_0002453,,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/BFO_0000054,,
http://purl.obolibrary.org/obo/RO_HOM0000005,Homoplasy that involves homologous underlying mechanisms or structures.,http://purl.obolibrary.org/obo/RO_HOM0000002
http://purl.obolibrary.org/obo/RO_0002110,Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input. ,http://purl.obolibrary.org/obo/RO_0002130
http://purl.obolibrary.org/obo/RO_0002566,"Holds between materal entities a and b if the activity of a is causally upstream of the activity of b, or causally upstream of a an activity that modifies b",http://purl.obolibrary.org/obo/RO_0002506
http://purl.obolibrary.org/obo/BFO_0000051,a core relation that holds between a whole and its part,http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002234,"p has output c iff c is a participant in p, c is present at the end of p, and c is not present at the beginning of p.",http://purl.obolibrary.org/obo/RO_0000057
http://purl.obolibrary.org/obo/RO_0002103,Relation between an anatomical structure (including cells) and a neuron that chemically synapses to it. ,http://purl.obolibrary.org/obo/RO_0000301
http://purl.obolibrary.org/obo/RO_0002452,A relation that holds between a disease or an organism and a phenotype,http://purl.obolibrary.org/obo/RO_0002200
http://purl.obolibrary.org/obo/RO_0002006,,http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002285,"x developmentally replaces y if and only if there is some developmental process that causes x to move or to cease to exist, and for the site that was occupied by x to become occupied by y, where y either comes into existence in this site or moves to this site from somewhere else",http://purl.obolibrary.org/obo/RO_0002258
http://purl.obolibrary.org/obo/RO_0002492,x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).,http://purl.obolibrary.org/obo/RO_0002490 http://purl.obolibrary.org/obo/RO_0002497
http://purl.obolibrary.org/obo/RO_0002517,inverse of has start sequence,http://purl.obolibrary.org/obo/RO_0002525
http://purl.obolibrary.org/obo/RO_0002446,"A biotic interaction relationship in which one partner is an organism and the other partner is inorganic. For example, the relationship between a sponge and the substrate to which is it anchored.",http://purl.obolibrary.org/obo/RO_0002437
http://purl.obolibrary.org/obo/RO_HOM0000014,Structural homology that involves complex structures from which only a fraction of the elements that can be isolated are separately homologous.,http://purl.obolibrary.org/obo/RO_HOM0000006
http://purl.obolibrary.org/obo/RO_0002466,,http://purl.obolibrary.org/obo/RO_0002465
http://purl.obolibrary.org/obo/RO_0002587,,http://purl.obolibrary.org/obo/RO_0002297
http://purl.obolibrary.org/obo/RO_0002454,,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0002563,,http://purl.obolibrary.org/obo/RO_0002464
http://purl.obolibrary.org/obo/RO_0002345,,http://purl.obolibrary.org/obo/RO_0002313
http://purl.obolibrary.org/obo/RO_0002430,,http://purl.obolibrary.org/obo/RO_0002428
http://purl.obolibrary.org/obo/RO_0002595,"A relationship that holds between a material entity and a process in which causality is involved, with either the material entity or some part of the material entity exerting some influence over the process, or the process influencing some aspect of the material entity.",http://purl.obolibrary.org/obo/RO_0002410
http://purl.obolibrary.org/obo/RO_0002505,"p has intermediate c if and only if p has parts p1, p2 and p1 has output c, and p2 has input c",http://purl.obolibrary.org/obo/RO_0000057
http://purl.obolibrary.org/obo/RO_HOM0000028,"Biological homology that is characterized by changes, over evolutionary time, in the rate or timing of developmental events of homologous structures.",http://purl.obolibrary.org/obo/RO_HOM0000008
http://purl.obolibrary.org/obo/RO_0002589,"p results in catabolism of c if and only if p is a catabolic process, and the execution of p results in c being broken into smaller parts with energy being released.",http://purl.obolibrary.org/obo/RO_0002586
http://purl.obolibrary.org/obo/RO_0002414,transitive form of directly_provides_input_for,http://purl.obolibrary.org/obo/RO_0002411
http://purl.obolibrary.org/obo/RO_0002220,x adjacent to y if and only if x and y share a boundary.,http://purl.obolibrary.org/obo/RO_0002163
http://purl.obolibrary.org/obo/RO_0002256,"t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor anatomical structure type T to T', where T' develops_from T",http://purl.obolibrary.org/obo/RO_0002258
http://purl.obolibrary.org/obo/RO_0002494,"x transformation of y if x is the immediate transformation of y, or is linked to y through a chain of transformation relationships",http://purl.obolibrary.org/obo/RO_0002202 http://purl.obolibrary.org/obo/BFO_0000062
http://purl.obolibrary.org/obo/RO_0002380,x is a branching part of y if and only if x is part of y and x is connected directly or indirectly to the main stem of y,http://purl.obolibrary.org/obo/BFO_0000050 http://purl.obolibrary.org/obo/RO_0002375
http://purl.obolibrary.org/obo/RO_0002608,Inverse of 'causal agent in',http://purl.obolibrary.org/obo/RO_0002410
http://purl.obolibrary.org/obo/RO_0002249,,http://purl.obolibrary.org/obo/BFO_0000050
http://purl.obolibrary.org/obo/RO_0002467,,http://purl.obolibrary.org/obo/RO_0002465
http://purl.obolibrary.org/obo/RO_0002588,,http://purl.obolibrary.org/obo/RO_0002592 http://purl.obolibrary.org/obo/RO_0002297
http://purl.obolibrary.org/obo/RO_0002218,x has participant y if and only if x realizes some active role that inheres in y,http://purl.obolibrary.org/obo/RO_0000057
http://purl.obolibrary.org/obo/RO_0002221,,http://purl.obolibrary.org/obo/RO_0002220
http://purl.obolibrary.org/obo/RO_0002487,,
http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/RO_0002353
http://purl.obolibrary.org/obo/RO_0002463,,http://purl.obolibrary.org/obo/RO_0002461
http://purl.obolibrary.org/obo/RO_HOM0000020,Orthology that involves two genes that did not experience any duplication after the speciation event that created them.,http://purl.obolibrary.org/obo/RO_HOM0000017 http://purl.obolibrary.org/obo/RO_HOM0000019
http://purl.obolibrary.org/obo/RO_0002443,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which association is disadvantageous or destructive to one of the organisms (GO).,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0002325,a colocalizes_with b if and only if  a is transiently or peripherally associated with b[GO].,http://purl.obolibrary.org/obo/RO_0002323
http://purl.obolibrary.org/obo/RO_HOM0000045,Historical homology that is characterized by topological discordance between a gene tree and a species tree attributable to the phylogenetic sorting of genetic polymorphisms across successive nodes in a species tree.,http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_0002246,"g is under-expressed in t iff g is expressed in t, and the expression level of g is decreased relative to some background.",http://purl.obolibrary.org/obo/RO_0002206
http://purl.obolibrary.org/obo/RO_0002295,"p results in the developmental progression of s iff p is a developmental process and s is an anatomical structure and p causes s to undergo a change in state at some point along its natural developmental cycle (this cycle starts with its formation, through the mature structure, and ends with its loss).",http://purl.obolibrary.org/obo/RO_0002324
http://purl.obolibrary.org/obo/RO_0002382,x proper_distributary_of y iff x distributary_of y and x does not flow back into y,http://purl.obolibrary.org/obo/RO_0002377
http://purl.obolibrary.org/obo/RO_0001025,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",
http://purl.obolibrary.org/obo/RO_0002210,,http://purl.obolibrary.org/obo/RO_0002203
http://purl.obolibrary.org/obo/RO_0002222,,
http://purl.obolibrary.org/obo/RO_0002343,,http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002585,,http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002464,,
http://purl.obolibrary.org/obo/BFO_0000055,,
http://purl.obolibrary.org/obo/RO_0002489,x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).,http://purl.obolibrary.org/obo/RO_0002488
http://purl.obolibrary.org/obo/RO_0002412,"p is immediately causally upstream of q iff both (a) p immediately precedes q and (b) p is causally upstream of q. In addition, the output of p  must be an input of q.",http://purl.obolibrary.org/obo/RO_0002090 http://purl.obolibrary.org/obo/RO_0002411
http://purl.obolibrary.org/obo/RO_0002552,"p results in the end of s if p results in a change of state in s whereby s either ceases to exist, or s becomes functionally impaired or s has its fate committed such that it is put on a path to be degraded.",http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002350,is member of is a mereological relation between a item and a collection.,http://purl.obolibrary.org/obo/BFO_0000050
http://purl.obolibrary.org/obo/RO_0002351,has member is a mereological relation between a collection and an item.,http://purl.obolibrary.org/obo/BFO_0000051
http://purl.obolibrary.org/obo/RO_0003305,"A relationship between an entity (a genotype, genetic variation or environment) and a condition (a phenotype or disease) where the entity influences the severity with which a condition manifests in an individual.",http://purl.obolibrary.org/obo/RO_0003304
http://purl.obolibrary.org/obo/RO_0003001,a produced_by b iff some process that occurs_in b has_output a.,
http://purl.obolibrary.org/obo/RO_0002005,,
http://purl.obolibrary.org/obo/RO_0002607,"c is marker for d iff the presence or occurrence of d is correlated with the presence of occurrence of c, and the observation of c is used to infer the presence or occurrence of d. Note that this does not imply that c and d are in a direct causal relationship, as it may be the case that there is a third entity e that stands in a direct causal relationship with c and d.",http://purl.obolibrary.org/obo/RO_0002610
http://purl.obolibrary.org/obo/RO_0002105,A relation between a motor neuron and a muscle that it synapses to via a type Ib bouton.,http://purl.obolibrary.org/obo/RO_0002120
http://purl.obolibrary.org/obo/RO_0002387,x has the potential to develop into y iff x develops into y or if x is capable of developing into y,http://purl.obolibrary.org/obo/RO_0002384
http://purl.obolibrary.org/obo/RO_0002315,The relationship that links a specified entity with the process that results in an unspecified entity acquiring the features and characteristics of the specified entity,http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002337,A relationship that holds via some process of localization,
http://purl.obolibrary.org/obo/RO_0002554,,http://purl.obolibrary.org/obo/RO_0002453
http://purl.obolibrary.org/obo/RO_0002204,"definition ""x has gene product of y if and only if y is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from x""",http://purl.obolibrary.org/obo/RO_0002330
http://purl.obolibrary.org/obo/RO_0002300,,http://purl.obolibrary.org/obo/RO_0002552
http://purl.obolibrary.org/obo/RO_HOM0000071,Structural homology that involves structures with the same or similar relative positions.,http://purl.obolibrary.org/obo/RO_HOM0000006
http://purl.obolibrary.org/obo/RO_0002312,,http://purl.obolibrary.org/obo/RO_0002320
http://purl.obolibrary.org/obo/RO_0002510,x is transcribed from y if and only if x is synthesized from template y,http://purl.obolibrary.org/obo/RO_0002330
http://purl.obolibrary.org/obo/RO_0001019,,
http://purl.obolibrary.org/obo/RO_0002156,d derived_by_descent_from a if d is specified by some genetic program that is sequence-inherited-from a genetic program that specifies a.,http://purl.obolibrary.org/obo/RO_0002320
